10002,"  银河帝国Ⅰ
   基地", 978-7-5399-4979-6,"〔美〕艾萨克·阿西莫夫著 
       叶李华译",1,29.9,江苏文艺出版社,  2015-01-01,1,,9.2, 沈曦,, 社团财产
10003,"  银河帝国Ⅱ
   基地与帝国", 978-7-5399-4978-9,"〔美〕艾萨克·阿西莫夫著 
       叶李华译",1,29.9,江苏文艺出版社,  2015-01-01,1,,9.4, 沈曦,, 社团财产
10004,"  银河帝国Ⅲ
   第二帝国", 978-7-5399-5268-0,"〔美〕艾萨克·阿西莫夫著 
       叶李华译
",1,29.9,江苏文艺出版社,  2015-01-01,1,,9.6, 沈曦,, 社团财产
10005,"  银河帝国Ⅳ
   基地前奏", 978-7-5399-5434-9,"〔美〕艾萨克·阿西莫夫著 
       叶李华译",1,39.9,江苏文艺出版社,  2015-01-01,1,,9.4, 沈曦,, 社团财产
10006,"  银河帝国Ⅴ
   迈向基地", 978-7-5399-5435-6,"〔美〕艾萨克·阿西莫夫著 
       叶李华译",1,39.9,江苏文艺出版社,  2015-01-01,1,,9.6, 沈曦,, 社团财产
10007,"  银河帝国Ⅵ
   基地边缘", 978-7-5399-5436-3,"〔美〕艾萨克·阿西莫夫著 
       叶李华译",1,39.9,江苏文艺出版社,  2015-01-01,1,,9.6, 沈曦,, 社团财产
10008,"  银河帝国Ⅶ
   基地与地球", 978-7-5399-5437-0,"〔美〕艾萨克·阿西莫夫著 
       叶李华译",1,46,江苏文艺出版社,  2015-01-01,1,,9.2, 沈曦,, 社团财产
10009,  伤心者, 978-7-5399-8643-2,         何夕著,1,35,江苏凤凰文艺出版社,  2015-10-01,1,,9, 沈曦,, 社团财产
10010,  六道众生, 978-7-5354-5865-0,         何夕著,3,32,长江文艺出版社,  2012-09-01,3,,, 沈曦,, 社团财产
10011,  湿婆之舞, 978-7-5364-7481-9,         江波著,1,38,四川出版集团·四川科学技术出版社,  2012-10-01,1,,, 沈曦,,有作者亲笔签名（林绍鹏捐赠）
10012,"  银河之心
 ·暗黑深渊", 978-7-5364-09-4,         江波著,1,34,四川出版集团·四川科学技术出版社,  2013-08-01,1,,, 沈曦,,有作者亲笔签名（林绍鹏捐赠）
10013,  差分机, 978-7-5133-1181-6,"  威廉·吉布森 布鲁斯·斯
  特林著     雒城译",1,45,新星出版社,  2014-11-01,1,,, 沈曦,,杨一苇捐赠
10014,与机器人同行, 987-7-5364-8215-9,         阿缺著,1,32,四川出版集团·四川科学技术出版社,  2015-10-01,1,,, 沈曦,,社团财产
10015,"  湮灭
  遗落的南境", 978-7-5455-1616-6,"〔美〕杰夫·范德米尔著 
        胡绍晏译",1,28,天地出版社,  2016-02-01,1,,7.8, 沈曦,,社团财产
10016,  医院, 978-7321-6044-0,        韩松著,1,35,上海文艺出版社,  2016-05-01,1,,, 沈曦,,有作者亲笔签名（杨昊霖捐赠）
10017,三体X观想之宙, 978-7-229-03981-3,        宝树著,1,17,重庆出版社,  2011-06-01,1,,, 沈曦,,有作者亲笔签名
10018,  时间之墟, 978-7-5354-6887-1,        宝树著,1,29.8,长江文艺出版社,-1,1,,8, 沈曦,, 社团财产
10019,  与吾同在, 978-7-229-04528-9,       王晋康著,1,29,重庆出版社,  2011-09-01,1,,, 沈曦,,有作者亲笔签名（林绍鹏捐赠）
10020, 2037化学笔记, 978-7-5354-6161-2,       陈奕璐著,1,26.8,长江文艺出版社,-1,1,,, 沈曦,,社团财产
10021,  星云Ⅳ, 7-5364-6050-3,  陈楸帆 飞氘 七月,1,15,四川出版集团·四川科学技术出版社,  2006-09-01,1,,8.2, 沈曦,,社团财产
